instance, algorithm, value, runningTime, initialValue, steps, evaluatedSolutions
tai40b, steepest-2swap, 705111578, 3070, 1136341850, 38, 29640 
tai40b, steepest-3swap, 710021002, 66562, 1068836947, 33, 677820 
tai40b, steepest-3swap, 720500685, 51518, 1139058280, 25, 513500 
tai40b, steepest-3swap, 665679607, 63975, 1149563365, 31, 636740 
tai40b, steepest-3swap, 653562801, 70100, 1093160296, 35, 718900 
tai40b, steepest-3swap, 686124960, 54940, 1108292442, 27, 554580 
tai40b, steepest-3swap, 688625577, 64773, 1149754197, 32, 657280 
tai40b, steepest-3swap, 719597268, 63076, 1123694928, 32, 657280 
tai40b, steepest-3swap, 666945549, 55510, 1226242153, 27, 554580 
tai40b, steepest-3swap, 707575729, 49955, 1059005986, 24, 492960 
tai40b, steepest-3swap, 726448633, 60878, 1218910953, 29, 595660
tai40b, tabu-2swap, 689123004, 20584, 1178770627, 300, 234000 
tai40b, tabu-2swap, 711135190, 20852, 1110098216, 300, 234000 
tai40b, tabu-2swap, 677847088, 20944, 1141401917, 300, 234000 
tai40b, tabu-2swap, 694962442, 21179, 1045763140, 300, 234000 
tai40b, tabu-2swap, 697195515, 20823, 1178694610, 300, 234000 
tai40b, tabu-2swap, 710161806, 20834, 1150594703, 300, 234000 
tai40b, tabu-2swap, 686528800, 20667, 1268876124, 300, 234000 
tai40b, tabu-2swap, 721058401, 20657, 1139508879, 300, 234000 
tai40b, tabu-2swap, 720105977, 20689, 1223198956, 300, 234000 
tai40b, tabu-2swap, 688178516, 20658, 1165521178, 300, 234000 
tai40b, tabu-3swap, 721260994, 535860, 1172722031, 300, 6162000 
tai40b, tabu-3swap, 696850483, 539954, 1067664886, 300, 6162000 
tai40b, tabu-3swap, 685097517, 611285, 1158602489, 300, 6162000 
tai40b, tabu-3swap, 678163553, 603288, 1044681021, 300, 6162000 
tai40b, tabu-3swap, 732275851, 626490, 1011859650, 300, 6162000 
tai40b, tabu-3swap, 712683201, 612308, 1088841881, 300, 6162000 
tai40b, tabu-3swap, 717693510, 610133, 1068573367, 300, 6162000 
tai40b, tabu-3swap, 728827348, 628061, 1210208730, 300, 6162000 
tai40b, tabu-3swap, 712702533, 602337, 1146605514, 300, 6162000 
tai40b, tabu-3swap, 675489545, 569691, 1148621460, 300, 6162000 
tai50b, random, 633657419, 10025, -1, -1, -1 
tai50b, random, 638113942, 10000, -1, -1, -1 
tai50b, random, 650535448, 10000, -1, -1, -1 
tai50b, random, 641972748, 10000, -1, -1, -1 
tai50b, random, 631287354, 10000, -1, -1, -1 
tai50b, random, 636527402, 10000, -1, -1, -1 
tai50b, random, 632579481, 10000, -1, -1, -1 
tai50b, random, 642090471, 10000, -1, -1, -1 
tai50b, random, 637719585, 10000, -1, -1, -1 
tai50b, random, 646005790, 10000, -1, -1, -1 
tai50b, heuristic, 816455169, 137, -1, -1, -1 
tai50b, heuristic, 816455169, 44, -1, -1, -1 
tai50b, heuristic, 816455169, 40, -1, -1, -1 
tai50b, heuristic, 816455169, 26, -1, -1, -1 
tai50b, heuristic, 816455169, 16, -1, -1, -1 
tai50b, heuristic, 816455169, 22, -1, -1, -1 
tai50b, heuristic, 816455169, 12, -1, -1, -1 
tai50b, heuristic, 816455169, 10, -1, -1, -1 
tai50b, heuristic, 816455169, 13, -1, -1, -1 
tai50b, heuristic, 816455169, 8, -1, -1, -1 
tai50b, greedy-2swap, 484611421, 14141, 769432268, 349, 91606 
tai50b, greedy-2swap, 483217902, 15381, 787154269, 427, 107093 
tai50b, greedy-2swap, 500079183, 14299, 745687571, 379, 99127 
tai50b, greedy-2swap, 481577324, 11820, 836324423, 410, 81489 
tai50b, greedy-2swap, 504702163, 14928, 762192491, 406, 103002 
